"Date","ANTIOQUIA_CHOCO","CENTRO","EJE_CAFETERO","NORTE","OCCIDENTE","Total"
2021-07-09,663,344,86,129,152,1374
2021-07-10,861,326,85,124,141,1537
2021-07-11,341,173,58,46,58,676
2021-07-12,649,318,77,151,134,1329
2021-07-13,525,259,87,139,104,1114
2021-07-14,432,234,83,117,107,973
2021-07-15,500,248,75,123,126,1072
2021-07-16,714,322,115,129,148,1428
2021-07-17,912,376,95,153,129,1665
2021-07-18,397,167,81,111,105,861
2021-07-19,687,292,88,162,144,1373
2021-07-20,321,138,39,86,57,641
2021-07-21,628,259,97,129,120,1233
2021-07-22,574,243,79,139,119,1154
2021-07-23,710,283,80,112,126,1311
2021-07-24,855,388,106,141,166,1656
2021-07-25,411,178,65,69,104,827
2021-07-26,405,173,39,83,74,774
2021-07-27,248,86,19,48,53,454
2021-07-28,537,269,85,103,126,1120
2021-07-29,516,323,88,126,150,1203
2021-07-30,949,388,86,158,155,1736
2021-07-31,1025,414,106,171,166,1882
2021-08-01,386,205,58,103,104,856
2021-08-02,637,255,88,140,137,1257
2021-08-03,580,240,79,92,121,1112
2021-08-04,516,269,102,119,137,1143
2021-08-05,525,243,75,131,124,1098
2021-08-06,908,305,98,148,146,1605
2021-08-07,741,355,107,138,154,1495
2021-08-08,404,257,63,99,96,919
2021-08-09,643,298,83,126,163,1313
2021-08-10,567,292,75,119,111,1164
2021-08-11,559,266,77,102,134,1138
2021-08-12,569,267,88,114,136,1174
2021-08-13,915,350,91,143,174,1673
2021-08-14,940,415,114,163,181,1813
2021-08-15,693,276,79,113,128,1289
2021-08-16,431,273,91,75,92,962
2021-08-17,649,302,93,144,136,1324
2021-08-18,570,299,90,123,119,1201
2021-08-19,539,272,71,131,112,1125
2021-08-20,827,411,91,165,195,1689
2021-08-21,1003,452,133,167,190,1945
2021-08-22,385,184,61,82,113,825
2021-08-23,609,304,77,123,144,1257
2021-08-24,542,301,73,128,144,1188
